hike_region,total_distance,elevation_gain,num_reviews,stars,hike_url,hike_id,dog_friendly,kid_friendly,camping,waterfall,river,lake,wildflowers,wildlife,views,hiking,nature_trips,walking,bird_watching,trail_running,forest,no_dogs,mountain_bike,backpacking,horseback_riding,beach,fishing,partially_paved,road_biking,off_road_driving,wheelchair_friendly,stroller_friendly,paved,historic_site,rock_climbing,snowshoeing,city_walk,cave,paddle_sports,scenic_driving,surfing,cross_country_skiing,hot_springs,rails_trails,skiing,rocky,snow,muddy,bugs,overgrown,scramble,blowdown,off_trail,no_shade,private_property,closed,washed_out,old_growth,elevation_per_mile,power_rating,hike_difficulty_EASY,hike_difficulty_HARD,hike_difficulty_MODERATE,route_type_Loop,route_type_Out & Back,route_type_Point to Poin,foot_traffic_Heavy,foot_traffic_Light,foot_traffic_Moderate,foot_traffic_Unknown Foot Traffic
Rattlesnake Mountain Scenic Area,5.1,1469,3245,4.4,https://www.alltrails.com/trail/us/washington/rattlesnake-ledge,hike0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,288.03921568627453,65.77,0,0,1,0,1,0,1,0,0,0
Mount Pilchuck State Park,7.0,1486,1504,4.6,https://www.alltrails.com/trail/us/washington/lake-22-trail,hike1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,212.28571428571428,84.5,0,0,1,1,0,0,1,0,0,0
Mount Si Natural Resources Conservation Area,7.9,3188,1751,4.6,https://www.alltrails.com/trail/us/washington/mount-si-trail,hike2,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,403.54430379746833,84.94,0,1,0,0,1,0,1,0,0,0
Wallace Falls State Park ,4.4,1404,1491,4.5,https://www.alltrails.com/trail/us/washington/wallace-falls-trail,hike3,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.09090909090907,74.62,0,0,1,0,1,0,1,0,0,0
Olallie State Park,3.6,967,1558,4.3,https://www.alltrails.com/trail/us/washington/twin-falls-trail,hike4,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,268.6111111111111,54.97,0,0,1,0,1,0,1,0,0,0
Mount Baker Snoqualmie National Forest,6.4,1669,882,4.5,https://www.alltrails.com/trail/us/washington/snow-lake-trail,hike5,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,260.78125,73.02,0,0,1,0,1,0,1,0,0,0
Mount Baker Snoqualmie National Forest,8.0,2759,921,4.7,https://www.alltrails.com/trail/us/washington/lake-serene-trail-and-bridal-veil-falls,hike6,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,344.875,92.07,0,1,0,0,1,0,1,0,0,0
Tiger Mountain State Forest,7.2,2007,1020,4.3,https://www.alltrails.com/trail/us/washington/poo-poo-point-trail,hike7,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.75,54.44,0,0,1,0,1,0,1,0,0,0
Mount Si Natural Resources Conservation Area,3.7,1138,1249,4.3,https://www.alltrails.com/trail/us/washington/little-si-trail,hike8,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,307.56756756756755,54.72,0,0,1,0,1,0,1,0,0,0
Mount Rainier National Park,5.5,1522,546,4.7,https://www.alltrails.com/trail/us/washington/tolmie-peak-trail--2,hike9,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,276.72727272727275,88.45,0,0,1,0,1,0,1,0,0,0
